Береговая улица, 1, 47.663585 53.135966
Береговая улица, 3, 47.663971 53.135972
Береговая улица, 5, 47.664348 53.135966
Береговая улица, 7, 47.664771 53.135966
Береговая улица, 9, 47.665157 53.135993
Береговая улица, 11, 47.665525 53.135993
Береговая улица, 13, 47.665983 53.135988
Береговая улица, 15, 47.666262 53.136009
Береговая улица, 17, 47.666684 53.136009
Береговая улица, 19, 47.667106 53.136015
Береговая улица, 21, 47.667439 53.135972
Береговая улица, 23, 47.667573 53.136258
Береговая улица, 25, 47.667807 53.135999
Береговая улица, 27, 47.668184 53.136063
Береговая улица, 29, 47.668606 53.136258
Береговая улица, 31, 47.668921 53.136171
Береговая улица, 33, 47.669172 53.136123
Береговая улица, 35, 47.669406 53.13608
Береговая улица, 37, 47.669801 53.135955
Береговая улица, 39, 47.670268 53.135842
Береговая улица, 41, 47.670655 53.136036
Береговая улица, 43, 47.671113 53.136414
Береговая улица, 45, 47.67123 53.136582
Береговая улица, 47, 47.671319 53.136733
Береговая улица, 49, 47.671679 53.137171
Береговая улица, 2, 47.671508 53.136274
Береговая улица, 4, 47.671697 53.136442
Коллективная улица, 1, 47.644603 53.134756
Коллективная улица, 2, 47.643768 53.135782
Коллективная улица, 3, 47.644505 53.134491
Коллективная улица, 4, 47.643633 53.13508
Коллективная улица, 5, 47.644442 53.134275
Коллективная улица, 6, 47.64349 53.134659
Коллективная улица, 7, 47.644388 53.134032
Коллективная улица, 9, 47.644298 53.133724
Коллективная улица, 10, 47.643274 53.133946
Коллективная улица, 11, 47.644262 53.133567
Коллективная улица, 12, 47.64322 53.133724
Коллективная улица, 13, 47.644181 53.133373
Коллективная улица, 14, 47.643094 53.133324
Коллективная улица, 15, 47.644109 53.13313
Коллективная улица, 17, 47.644056 53.132935
Коллективная улица, 18, 47.642924 53.13273
Коллективная улица, 19, 47.644029 53.132752
Коллективная улица, 20, 47.642843 53.132492
Коллективная улица, 21, 47.64402 53.132476
Коллективная улица, 22, 47.642843 53.132319
Коллективная улица, 23, 47.643939 53.132174
Коллективная улица, 24, 47.642753 53.132055
Коллективная улица, 25, 47.64384 53.131758
Коллективная улица, 26, 47.64269 53.131893
Коллективная улица, 27, 47.643804 53.131547
Коллективная улица, 28, 47.642636 53.13165
Коллективная улица, 29, 47.643714 53.131309
Коллективная улица, 31, 47.643669 53.131136
Коллективная улица, 32, 47.642564 53.131423
Коллективная улица, 33, 47.643597 53.130888
Коллективная улица, 34, 47.642528 53.131152
Коллективная улица, 35, 47.643534 53.130672
Коллективная улица, 36, 47.642286 53.129775
Коллективная улица, 37, 47.643436 53.130391
Коллективная улица, 38, 47.642259 53.129494
Коллективная улица, 39, 47.643202 53.129715
Коллективная улица, 40, 47.642214 53.129213
Коллективная улица, 41, 47.643112 53.129445
Коллективная улица, 42, 47.642214 53.128921
Коллективная улица, 44, 47.642232 53.128591
Мирный переулок, 1, 47.654485 53.132044
Мирный переулок, 3, 47.654566 53.132244
Мирный переулок, 5, 47.654692 53.132465
Мирный переулок, 7, 47.654754 53.132719
Мирный переулок, 9, 47.654898 53.133022
Полевая улица, 1, 47.671041 53.134567
Полевая улица, 2, 47.669226 53.133843
Полевая улица, 3, 47.670978 53.134281
Полевая улица, 4, 47.668885 53.133838
Полевая улица, 5, 47.671957 53.134308
Полевая улица, 6, 47.668391 53.13353
Полевая улица, 7, 47.670942 53.134146
Полевая улица, 8, 47.668139 53.133114
Полевая улица, 10, 47.668014 53.132941
Полевая улица, 12, 47.667951 53.132768
Полевая улица, 14, 47.667843 53.132611
Полевая улица, 15, 47.670727 53.133697
Полевая улица, 16, 47.667744 53.132449
Полевая улица, 17, 47.670502 53.13354
Полевая улица, 18, 47.66769 53.132287
Полевая улица, 19, 47.670295 53.133438
Полевая улица, 20, 47.667636 53.13212
Полевая улица, 21, 47.670098 53.13333
Полевая улица, 22, 47.667493 53.13193
Полевая улица, 23, 47.669837 53.133189
Полевая улица, 24, 47.667439 53.13179
Полевая улица, 25, 47.669649 53.133103
Полевая улица, 26, 47.667358 53.131644
Полевая улица, 27, 47.669433 53.132979
Полевая улица, 28, 47.667232 53.131428
Полевая улица, 29, 47.669235 53.132865
Полевая улица, 30, 47.667196 53.131277
Полевая улица, 31, 47.668993 53.132752
Полевая улица, 33, 47.668795 53.132654
Полевая улица, 35, 47.668553 53.132509
Полевая улица, 37, 47.668337 53.132406
Полевая улица, 39, 47.668139 53.132222
Полевая улица, 41, 47.668014 53.131957
Полевая улица, 43, 47.667924 53.131612
Рабочая улица, 1, 47.653506 53.13045
Рабочая улица, 2, 47.653111 53.129996
Рабочая улица, 3, 47.65303 53.130483
Рабочая улица, 4, 47.652697 53.130012
Рабочая улица, 5, 47.652482 53.130483
Рабочая улица, 6, 47.652257 53.130045
Рабочая улица, 7, 47.651889 53.130472
Рабочая улица, 8, 47.651736 53.130029
Рабочая улица, 9, 47.651323 53.130493
Рабочая улица, 10, 47.651251 53.130007
Рабочая улица, 11, 47.650856 53.130461
Рабочая улица, 12, 47.650811 53.130029
Рабочая улица, 13, 47.650505 53.130445
Рабочая улица, 14, 47.650452 53.130012
Рабочая улица, 15, 47.650056 53.130385
Рабочая улица, 16, 47.650101 53.130007
Рабочая улица, 17, 47.649643 53.130423
Рабочая улица, 18, 47.649742 53.129985
Светлая улица, 1, 47.657701 53.129759
Светлая улица, 2, 47.658438 53.129505
Светлая улица, 3, 47.657665 53.130088
Светлая улица, 4, 47.658464 53.129769
Светлая улица, 5, 47.657782 53.130807
Светлая улица, 6, 47.658509 53.130029
Светлая улица, 7, 47.657288 53.130828
Светлая улица, 8, 47.658545 53.130212
Светлая улица, 9, 47.656803 53.130855
Светлая улица, 10, 47.658581 53.130553
Светлая улица, 11, 47.656318 53.130877
Светлая улица, 12А, 47.657557 53.131185
Светлая улица, 13к2, 47.655797 53.130909
Светлая улица, 14, 47.656874 53.131261
Светлая улица, 15, 47.655159 53.130866
Светлая улица, 16, 47.656362 53.131282
Светлая улица, 17, 47.654844 53.130942
Светлая улица, 18, 47.655877 53.131315
Светлая улица, 19, 47.654368 53.130963
Светлая улица, 20, 47.655392 53.131331
Светлая улица, 21, 47.653766 53.131001
Светлая улица, 22, 47.654898 53.131358
Светлая улица, 23, 47.653398 53.131061
Светлая улица, 24, 47.653883 53.13139
Светлая улица, 25, 47.653003 53.13105
Светлая улица, 26, 47.653497 53.131525
Светлая улица, 27, 47.652607 53.131077
Светлая улица, 28, 47.653155 53.131396
Светлая улица, 29, 47.652203 53.131082
Светлая улица, 30, 47.652904 53.131412
Светлая улица, 31, 47.651781 53.131088
Светлая улица, 32, 47.652518 53.131439
Светлая улица, 33, 47.651368 53.131136
Светлая улица, 34, 47.652104 53.13145
